Vertical,Logic Turover,Logic Tier,Logic Rating,Logic TAT Slab,Logic Product Count,Logic PL,>=3 Multi Angle Img,% Contribution,Slab,Mcat Count Slab,Logic IA,Logic DAU,Logic D rank,Logic A rank,Logic Broad Industry
NSD Emerging Markets - Channel FSF,Upto 50 Lakh,Tier2,0-1,8-10,20,LOCAL ONLY,7,35.0,Greater than 25%,21-24,76-90,7-10,1,1-3,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Not Mentioned,Tier2,0-1,8-10,11,LOCAL ONLY,0,0.0,0%,9-12,91-100,21-25,0,0,Consumer Focused Segment
NSD Emerging Markets - Channel FSF,Upto 50 Lakh,Tier2,0-1,5-7,12-19,LOCAL ONLY,0,0.0,0%,17-20,76-90,7-10,0,0,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Others,0-1,5-7,12-19,HYPERLOCAL,9,69.2,Greater than 25%,17-20,91-100,16-20,0,0,Other Consumer Focused Segment
NSD Tele,Upto 50 Lakh,Others,Greater than Equal to 5,5-7,20,LOCAL ONLY,0,0.0,0%,Greater than 24,76-90,26-30,5,Greater than 10,Other B2B Category
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,0-1,8-10,6-10,LOCAL ONLY,0,0.0,0%,5-8,91-100,21-25,0,0,Other B2B Category
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Others,0-1,Greater than 15,Greater than 30,HYPERLOCAL,2,4.3,0.01%-5%,Greater than 24,51-75,4-6,0,1-3,Consumer Focused Segment
NSD Tele,Upto 50 Lakh,Tier2,0-1,5-7,12-19,LOCAL ONLY,0,0.0,0%,21-24,76-90,11-15,0,1-3,Other B2B Category
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Tier2,Greater than Equal to 5,0-4,21-30,LOCAL ONLY,0,0.0,0%,13-16,76-90,7-10,1,7-10,Other Consumer Focused Segment
NSD Tele,Upto 50 Lakh,Others,0-1,5-7,11,LOCAL ONLY,0,0.0,0%,17-20,91-100,26-30,0,0,Consumer Focused Segment
