,Variable,Cutoff,N,Events,% of Events,Non-Events,% of Non-Events,WoE,IV
0,Vertical,NSD Emerging Markets - Channel FSF,2554,1765,0.08457115477,789,0.08652264503,0.02281292362,0.00004451919822
1,Vertical,NSD Inbound Sales,778,586,0.0280785817,192,0.02105494023,-0.2878718454,0.002021908629
2,Vertical,NSD Registered Supplier & Pre-Sales Support,26,18,0.0008624820316,8,0.0008772891764,0.01702235592,0.0000002520524893
3,Vertical,NSD Tele,6747,4802,0.2300910398,1945,0.213290931,-0.07581794859,0.001273749781
4,Vertical,NSD Top Cities - Channel FSF,3920,2729,0.1307618591,1191,0.1306064261,-0.001189379215,0.0000001848687614
5,Vertical,NSD Top Cities - Inhouse FSF,15923,10939,0.5241494969,4984,0.5465511569,0.04185096849,0.0009375311683
6,Vertical,Other Vertical,41,31,0.001485385721,10,0.001096611471,-0.3034495394,0.0001179733672
0,Turnover,1Cr-2Cr,4006,3077,0.1474365117,929,0.1018752056,-0.3696490644,0.01684169418
1,Turnover,2 Cr-5 Cr,1517,1171,0.05610924772,346,0.03794275688,-0.3912220164,0.007107131178
2,Turnover,50 Lakh-1 Cr,6382,4586,0.2197412554,1796,0.1969514201,-0.1094936424,0.002495342075
3,Turnover,Greater than 5 Cr,952,771,0.03694298035,181,0.01984866762,-0.6212387702,0.01061964982
4,Turnover,Not Mentioned,2772,1904,0.09123143268,868,0.09518587564,0.04243207145,0.0001677952065
5,Turnover,Upto 50 Lakh,14360,9361,0.4485385721,4999,0.5481960741,0.2006383422,0.01999511599
0,Tier,Others,7378,5070,0.2429324389,2308,0.2530979274,0.04099310318,0.0004167149188
1,Tier,Tier1,11387,8124,0.3892668903,3263,0.3578243228,-0.08422305397,0.002648189054
2,Tier,Tier2,11224,7676,0.3678006708,3548,0.3890777498,0.05623805844,0.001196581609
0,STS_Creation_Date,0,2830,1981,0.09492093915,849,0.09310231385,-0.01934528825,0.00003518183059
1,STS_Creation_Date,1-10,3262,2262,0.108385242,1000,0.1096611471,0.01170319444,0.00001493216526
2,STS_Creation_Date,11-30,2046,1345,0.06444657403,701,0.07687246409,0.1763111671,0.002190823179
3,STS_Creation_Date,180-365,2764,1859,0.0890752276,905,0.09924333809,0.1080935281,0.001099106937
4,STS_Creation_Date,31-180,4936,3346,0.1603258265,1590,0.1743612238,0.08392098581,0.001177864375
5,STS_Creation_Date,Greater than 365,14151,10077,0.4828461907,4074,0.4467595131,-0.07767770936,0.002803130454
0,Cancellation_Reason,6 Months Lock-In Period,173,109,0.005222807858,64,0.007018313412,0.2954877733,0.0005305499379
1,Cancellation_Reason,BL/ROI Issue,121,87,0.004168663153,34,0.003728479,-0.1115950219,0.00004912236019
2,Cancellation_Reason,Bounce,73,51,0.00244369909,22,0.002412545235,-0.01283060723,0.0000003997228692
3,Cancellation_Reason,Client Coordination Issue,436,308,0.01475802587,128,0.01403662682,-0.05011694692,0.00003615431796
4,Cancellation_Reason,Client Does Not Want Service,42,27,0.001293723047,15,0.001644917206,0.2401659072,0.00008434486367
5,Cancellation_Reason,GST Filing,88,63,0.003018687111,25,0.002741528676,-0.09630632939,0.00002669211147
6,Cancellation_Reason,High Churn Category Cancellation,160,100,0.004791566842,60,0.006579668823,0.3171269484,0.0005670553246
7,Cancellation_Reason,Material Issue,1013,723,0.03464302827,290,0.03180173265,-0.08557572704,0.0002431459388
8,Cancellation_Reason,NACH Cancelled,281,192,0.009199808337,89,0.009759842088,0.05909356984,0.00003309439356
